,French,English
0,partie,part
1,chercher,search
2,seulement,only
3,police,police
4,pensais,thought
5,aide,help
6,demande,request
7,genre,kind
8,mois,month
9,frère,brother
10,laisser,let
11,car,because
12,mettre,to put
13,aucun,no
14,laisse,leash
15,eux,them
16,chaque,each
17,parlé,speak
18,arrivé,come
19,devrait,should
20,bébé,baby
21,longtemps,long time
22,heures,hours
23,vont,will
24,pendant,while
25,revoir,meet again
26,aucune,any
27,place,square
28,compris,understood
29,savais,knew
30,étaient,were
31,attention,Warning
32,voici,here is
33,pourrais,could
34,affaire,case
35,donner,give
36,type,type
37,leurs,their
38,donné,given
39,endroit,place
40,yeux,eyes
41,écoute,listen
42,dont,whose
43,trouve,find
44,premier,first
45,première,first
46,côté,side
47,pouvoir,power
48,sois,be
49,tiens,here
50,matin,morning
51,tellement,so much
52,enfant,child
53,venu,came
54,suite,after
55,pardon,sorry
56,venez,come
57,devant,in front of
58,vers,towards
59,minutes,minutes
60,demandé,request
61,chambre,bedroom
62,belle,beautiful
63,droit,law
64,aimerais,would like to
65,aujourd'hui,today
66,mari,husband
67,cause,cause
68,enfin,finally
69,espère,hope
70,eau,water
71,attendez,Wait
72,nouvelle,new
73,boulot,job
74,arrêter,Stop
75,dirait,would say
76,terre,Earth
77,compte,account
78,donne,given
79,loin,far
80,fin,end
81,croire,believe
82,chérie,sweetheart
83,gros,large
84,plutôt,rather
85,filles,girls
86,jouer,to play
87,bureau,office
